,video_id,start_seconds,end_seconds,positive_labels,scores,labels
0,"2ofK2gAQue4,","180.000,","190.000,",['female'],"[0.42573288 0.36604425 0.3487324  0.20075366 0.05946686 0.04712299
 0.04098897 0.01299943 0.01040361 0.00993239]","['Speech', 'Smoke detector, smoke alarm', 'Alarm', 'Fire alarm', 'Buzzer', 'Silence', 'Inside, small room', 'Snake', 'Telephone', 'Snort']"
0,"2xBIHi3oqy4,","30.000,","40.000,",['female'],"[0.8336839  0.04439483 0.01370615 0.00705948 0.00587787 0.00486485
 0.00407355 0.00369424 0.00231766 0.00207314]","['Speech', 'Narration, monologue', 'Inside, large room or hall', 'Chuckle, chortle', 'Inside, small room', 'Laughter', 'Conversation', 'Inside, public space', 'Outside, urban or manmade', 'Singing']"
0,"3ZGi57Zl1Qk,","30.000,","40.000,",['child'],"[0.33448896 0.32134867 0.29506287 0.23862015 0.06146012 0.06103142
 0.01746223 0.00399065 0.00397517 0.00360773]","['Child singing', 'Child speech, kid speaking', 'Singing', 'Speech', 'Inside, small room', 'Babbling', 'Hands', 'Bathtub (filling or washing)', 'Domestic animals, pets', 'Cat']"
0,"3pV7d32BfBQ,","50.000,","60.000,",['child'],"[0.7404853  0.06577767 0.06110407 0.03577007 0.02326657 0.02290144
 0.01891978 0.01643532 0.01624141 0.01481829]","['Speech', 'Child speech, kid speaking', 'Laughter', 'Giggle', 'Children playing', 'Snicker', 'Crying, sobbing', 'Belly laugh', 'Inside, small room', 'Baby laughter']"
0,"40AD_oH9eCU,","30.000,","40.000,",['child'],"[0.21412984 0.11256615 0.10502605 0.06797241 0.06491493 0.04483052
 0.04308354 0.04225028 0.0377911  0.03654694]","['Speech', 'Liquid', 'Vehicle', 'Pour', 'Water', 'Trickle, dribble', 'Baby cry, infant cry', 'Crying, sobbing', 'Frying (food)', 'Fire']"
0,"45h1cMSHzYU,","110.000,","120.000,",['male'],"[0.43456858 0.2058976  0.14047681 0.12888089 0.07974298 0.05711768
 0.0444453  0.0433779  0.03783448 0.03783166]","['Music', 'Shout', 'Whoop', 'Singing', 'Inside, large room or hall', 'Yell', 'Crowd', 'Inside, public space', 'Pop music', 'Bellow']"
0,"4GPDqOodSUU,","140.000,","150.000,",['child'],"[0.78109694 0.20815629 0.06149221 0.04365119 0.02349485 0.01472309
 0.01226578 0.01213981 0.00752824 0.00497685]","['Speech', 'Child speech, kid speaking', 'Narration, monologue', 'Inside, small room', 'Whimper', 'Crying, sobbing', 'Inside, large room or hall', 'Child singing', 'Conversation', 'Singing']"
0,"4PYTtp78Ig0,","60.000,","70.000,",['child'],"[0.26478934 0.1960766  0.15645683 0.15456441 0.08476667 0.07900139
 0.059768   0.03019278 0.0213672  0.02088539]","['Speech', 'Domestic animals, pets', 'Dog', 'Animal', 'Inside, small room', 'Child speech, kid speaking', 'Music', 'Yip', 'Cat', 'Bow-wow']"
0,"4TgXgwVndiw,","160.000,","170.000,",['child'],"[0.5473687  0.11621911 0.1053912  0.01730021 0.01402074 0.01270955
 0.00947728 0.00807883 0.00687831 0.00573546]","['Speech', 'Child speech, kid speaking', 'Music', 'Inside, small room', 'Inside, large room or hall', 'Outside, urban or manmade', 'Pig', 'Oink', 'Animal', 'Livestock, farm animals, working animals']"
0,"4VdV7ELQ9vE,","310.000,","320.000,",['child'],"[0.4499808  0.23289326 0.20806153 0.19402742 0.15106948 0.06489319
 0.04797154 0.04130257 0.03553036 0.03148237]","['Speech', 'Laughter', 'Baby laughter', 'Crying, sobbing', 'Baby cry, infant cry', 'Belly laugh', 'Giggle', 'Whimper', 'Babbling', 'Groan']"
0,"50cOkl6Mz5E,","530.000,","540.000,",['child'],"[0.76546913 0.02858092 0.02519377 0.02031146 0.01577377 0.01406023
 0.00980945 0.00953868 0.00918521 0.00808153]","['Speech', 'Animal', 'Domestic animals, pets', 'Dog', 'Children playing', 'Outside, urban or manmade', 'Child speech, kid speaking', 'Outside, rural or natural', 'Whimper (dog)', 'Inside, small room']"
0,"5Hr6HKMTS18,","400.000,","410.000,",['child'],"[0.54975116 0.09513452 0.08906724 0.07067131 0.05552105 0.04621084
 0.03600164 0.02746218 0.0240697  0.01799432]","['Speech', 'Inside, small room', 'Cap gun', 'Gunshot, gunfire', 'Explosion', 'Keys jangling', 'Coin (dropping)', 'Cutlery, silverware', 'Dishes, pots, and pans', 'Typing']"
0,"5PYzLVpPSXA,","70.000,","80.000,",['child'],"[0.28294855 0.19236568 0.05415767 0.04440123 0.03680181 0.03420777
 0.02995621 0.01572457 0.01481766 0.01464155]","['Music', 'Speech', 'Music for children', 'Child speech, kid speaking', 'Boing', 'Inside, small room', 'Sound effect', 'Vehicle', 'Car', 'Motor vehicle (road)']"
0,"6-RIiM19Be8,","160.000,","170.000,",['male'],"[0.6105491  0.06942469 0.06231711 0.03740713 0.03205133 0.02503961
 0.02503849 0.02148928 0.01971428 0.01858887]","['Speech', 'Hands', 'Slap, smack', 'Whack, thwack', 'Inside, small room', 'Glass', 'Clapping', 'Laughter', 'Dog', 'Chink, clink']"
0,"67LwMQTrdI4,","280.000,","290.000,",['child'],"[0.72073686 0.03834599 0.02062578 0.0193294  0.01481029 0.01342293
 0.01144278 0.01136673 0.00842223 0.00752816]","['Speech', 'Music', 'Music for children', 'Child speech, kid speaking', 'Groan', 'Inside, small room', 'Sound effect', 'Plop', 'Narration, monologue', 'Conversation']"
0,"6HvJzsvx8Io,","120.000,","130.000,",['child'],"[0.45585805 0.12227687 0.07705583 0.07289023 0.06906806 0.0535614
 0.05223021 0.04867572 0.04614759 0.04148079]","['Speech', 'Animal', 'Cat', 'Crow', 'Domestic animals, pets', 'Meow', 'Crying, sobbing', 'Wild animals', 'Caw', 'Baby cry, infant cry']"
0,"6PSsSboko5E,","440.000,","450.000,",['child'],"[0.6772537  0.08218697 0.04429363 0.03827704 0.03740267 0.0341425
 0.0340816  0.02169112 0.02154345 0.01860869]","['Speech', 'Boat, Water vehicle', 'Wind noise (microphone)', 'Clip-clop', 'Sailboat, sailing ship', 'Wind', 'Horse', 'Vehicle', 'Motorboat, speedboat', 'Rowboat, canoe, kayak']"
0,"6gBqjgsHL2k,","30.000,","40.000,",['child'],"[0.16603561 0.14751552 0.13621348 0.09730384 0.08198265 0.07128076
 0.05958294 0.03497761 0.03052618 0.03037756]","['Inside, small room', 'Bathtub (filling or washing)', 'Speech', 'Dishes, pots, and pans', 'Cutlery, silverware', 'Child speech, kid speaking', 'Water', 'Liquid', 'Breathing', 'Drip']"
0,"6xlV_D4yJDc,","30.000,","40.000,",['male'],"[0.7924754  0.02009648 0.01925812 0.01611965 0.01562519 0.01322726
 0.00996107 0.00720163 0.00716224 0.00677778]","['Speech', 'Inside, small room', 'Laughter', 'Inside, large room or hall', 'Chuckle, chortle', 'Child speech, kid speaking', 'Hands', 'Children playing', 'Slap, smack', 'Snicker']"
0,"72RI4phr0F8,","20.000,","30.000,",['male'],"[0.83557653 0.7657094  0.68181473 0.35918012 0.18787602 0.03058487
 0.02128063 0.01869377 0.0186842  0.01788859]","['Music', 'Rattle (instrument)', 'Maraca', 'Percussion', 'Musical instrument', 'Tambourine', 'Music of Latin America', 'Steelpan', 'Drum', 'Salsa music']"
0,"72b5UupN-Nw,","150.000,","160.000,",['female'],"[0.94311297 0.01224922 0.00699472 0.00662661 0.00459893 0.00413491
 0.00327017 0.00314429 0.00290039 0.00273739]","['Speech', 'Narration, monologue', 'Inside, small room', 'Screaming', 'Slap, smack', 'Laughter', 'Hands', 'Whimper', 'Inside, large room or hall', 'Snicker']"
0,"7761uBKNpd8,","30.000,","40.000,",['female'],"[9.9426889e-01 1.3356989e-02 1.2173902e-02 9.4760638e-03 1.4717234e-03
 8.9413085e-04 4.0008273e-04 1.5173327e-04 8.1416503e-05 8.0101556e-05]","['Speech', 'Inside, small room', 'Narration, monologue', 'Conversation', 'Inside, large room or hall', 'Child speech, kid speaking', 'Music', 'Laughter', 'Outside, urban or manmade', 'Musical instrument']"
0,"78t2zq75Amg,","10.000,","20.000,",['child'],"[0.46239308 0.16469789 0.08856364 0.08304051 0.06455282 0.05219083
 0.02477006 0.01976576 0.01467308 0.01251654]","['Speech', 'Bathtub (filling or washing)', 'Water', 'Child speech, kid speaking', 'Gargling', 'Inside, small room', 'Gurgling', 'Babbling', 'Liquid', 'Toilet flush']"
0,"7QnyKZe6VBA,","30.000,","40.000,",['female'],"[0.8201774  0.03815576 0.03080053 0.021284   0.01927938 0.0190175
 0.01876618 0.00666628 0.00614963 0.00613881]","['Speech', 'Laughter', 'Whoop', 'Narration, monologue', 'Shout', 'Chuckle, chortle', 'Snicker', 'Inside, large room or hall', 'Conversation', 'Outside, urban or manmade']"
0,"7nQxWCn_dBg,","160.000,","170.000,",['child'],"[0.3196632  0.07551292 0.07411979 0.06677338 0.06334194 0.05086616
 0.04699905 0.04673366 0.04566068 0.04524492]","['Speech', 'Bathtub (filling or washing)', 'Stir', 'Dishes, pots, and pans', 'Inside, small room', 'Liquid', 'Child speech, kid speaking', 'Animal', 'Frying (food)', 'Water']"
0,"7oHaG3Ez5-4,","30.000,","40.000,",['male'],"[0.59399784 0.19513933 0.06359763 0.05091605 0.04359671 0.03240433
 0.03071774 0.0238108  0.02374439 0.02342727]","['Music', 'Speech', 'Musical instrument', 'Percussion', 'Drum', 'Guitar', 'Plucked string instrument', 'Music of Latin America', 'Drum kit', 'Snare drum']"
0,"7qE47XOqcG0,","100.000,","110.000,",['female'],"[0.44268137 0.15930833 0.05918929 0.05619762 0.05348494 0.03957774
 0.03448581 0.02272117 0.01939895 0.01702385]","['Silence', 'Speech', 'Breathing', 'Inside, small room', 'Gasp', 'Sigh', 'Snort', 'Telephone', 'Cough', 'Glass']"
0,"7s6xFTV74tE,","70.000,","80.000,",['child'],"[0.15413006 0.14254539 0.1241905  0.07202252 0.06937418 0.06570669
 0.06081572 0.0579415  0.04801706 0.04741123]","['Silence', 'Inside, small room', 'Speech', 'Breathing', 'Babbling', 'Domestic animals, pets', 'Animal', 'Dog', 'Writing', 'Child speech, kid speaking']"
0,"8F8HvVMwXyw,","90.000,","100.000,",['child'],"[0.3962248  0.12808253 0.10303043 0.07828926 0.07757873 0.07482383
 0.04972059 0.04398119 0.03139202 0.02336094]","['Speech', 'Crying, sobbing', 'Baby cry, infant cry', 'Babbling', 'Child speech, kid speaking', 'Laughter', 'Inside, small room', 'Baby laughter', 'Cough', 'Chicken, rooster']"
0,"8rKtax0rSuw,","30.000,","40.000,",['child'],"[0.5473534  0.16860464 0.0450339  0.03137757 0.02971502 0.0204148
 0.01656867 0.01591768 0.0156645  0.01346039]","['Music', 'Singing', 'Rock and roll', 'Inside, large room or hall', 'Rock music', 'Pop music', 'Christian music', 'Gospel music', 'Roll', 'Choir']"
0,"8wT5dihdt4E,","260.000,","270.000,",['child'],"[0.6762758  0.21468648 0.09733246 0.02559198 0.0166475  0.01539529
 0.0152065  0.01066288 0.00591737 0.00569557]","['Speech', 'Plop', 'Silence', 'Music for children', 'Inside, small room', 'Sound effect', 'Child speech, kid speaking', 'Boing', 'Oink', 'Pig']"
0,"9FOxcwocgJA,","540.000,","550.000,",['child'],"[0.86553556 0.08089694 0.04139457 0.02418284 0.01239118 0.0123599
 0.00959278 0.00886964 0.00781357 0.00428878]","['Speech', 'Child speech, kid speaking', 'Inside, small room', 'Babbling', 'Whimper', 'Conversation', 'Crying, sobbing', 'Laughter', 'Narration, monologue', 'Inside, large room or hall']"
0,"9UfnuoaQaXk,","50.000,","60.000,",['child'],"[0.35814518 0.20437652 0.04808367 0.04406523 0.03706817 0.03606995
 0.03333564 0.02944154 0.02510264 0.02497734]","['Speech', 'Music', 'Explosion', 'Fireworks', 'Firecracker', 'Crack', 'Crackle', 'Breaking', 'Whip', 'Fire']"
0,"9_eXYyA8N18,","530.000,","540.000,",['child'],"[0.1896588  0.05889883 0.03675369 0.03441555 0.03240995 0.02402192
 0.02322068 0.020894   0.01705651 0.01689383]","['Speech', 'Inside, large room or hall', 'Music', 'Singing', 'Child speech, kid speaking', 'Crowd', 'Shout', 'Screaming', 'Inside, small room', 'Children shouting']"
0,"9cYVBOJmXIw,","30.000,","40.000,",['male'],"[0.33908328 0.03493635 0.03085233 0.02962034 0.02855953 0.02779222
 0.02134008 0.02120583 0.01916396 0.01783198]","['Speech', 'Inside, large room or hall', 'Rail transport', 'Vehicle', 'Train', 'Hiss', 'Inside, small room', 'Steam', 'Dishes, pots, and pans', 'Liquid']"
0,"9kFZhnbKUXo,","30.000,","40.000,",['child'],"[0.44557798 0.2168496  0.21432126 0.18425223 0.17386258 0.11074883
 0.0785483  0.07584021 0.07264088 0.0381161 ]","['Laughter', 'Giggle', 'Baby laughter', 'Belly laugh', 'Speech', 'Crying, sobbing', 'Snicker', 'Baby cry, infant cry', 'Chuckle, chortle', 'Inside, small room']"
0,"9wkgTdE7nz8,","30.000,","40.000,",['male'],"[9.2784816e-01 2.6459483e-02 6.3956967e-03 3.1302280e-03 2.9878845e-03
 2.8543333e-03 2.8529854e-03 2.0797271e-03 7.1226317e-04 4.9977080e-04]","['Speech', 'Narration, monologue', 'Inside, large room or hall', 'Laughter', 'Toilet flush', 'Chuckle, chortle', 'Conversation', 'Inside, small room', 'Shuffle', 'Television']"
0,"9xvmNaF73fo,","30.000,","40.000,",['child'],"[0.28043082 0.10873218 0.1020029  0.08975171 0.07517165 0.07471544
 0.05730734 0.05502772 0.04800123 0.03947967]","['Speech', 'Animal', 'Typing', 'Wild animals', 'Inside, small room', 'Computer keyboard', 'Bird', 'Rodents, rats, mice', 'Patter', 'Gargling']"
0,"A458iJLZGvg,","80.000,","90.000,",['child'],"[0.58877    0.23840138 0.08396684 0.03341235 0.03140453 0.01909672
 0.01811374 0.01709825 0.01328267 0.00990896]","['Speech', 'Child speech, kid speaking', 'Inside, small room', 'Lullaby', 'Laughter', 'Singing', 'Chuckle, chortle', 'Hands', 'Crying, sobbing', 'Narration, monologue']"
0,"AABgGgkXH94,","30.000,","40.000,",['female'],"[0.91522944 0.03648771 0.03145575 0.02357592 0.00863844 0.00649442
 0.00509145 0.00230897 0.00179251 0.00144166]","['Speech', 'Beatboxing', 'Conversation', 'Narration, monologue', 'Inside, small room', 'Inside, large room or hall', 'Vocal music', 'Laughter', 'Chuckle, chortle', 'Music']"
0,"AHoWincIkzc,","30.000,","40.000,",['male'],"[0.59947    0.29004067 0.01378803 0.01317355 0.00942999 0.00813671
 0.00596356 0.00588976 0.00367554 0.00308322]","['Applause', 'Speech', 'Crowd', 'Inside, large room or hall', 'Cheering', 'Inside, public space', 'Clapping', 'Narration, monologue', 'Hands', 'Outside, urban or manmade']"
0,"An32hX6i1gs,","30.000,","40.000,",['male'],"[0.45042118 0.1371351  0.12536098 0.10301057 0.10190257 0.04870442
 0.04013036 0.03178009 0.01874672 0.01719014]","['Speech', 'Cheering', 'Crowd', 'Shout', 'Whoop', 'Inside, large room or hall', 'Children shouting', 'Inside, public space', 'Laughter', 'Narration, monologue']"
0,"Arp482w8r_s,","30.000,","40.000,",['male'],"[0.3894022  0.19286516 0.07322314 0.03851315 0.02210204 0.02065199
 0.01652689 0.01651406 0.01332808 0.01100598]","['Speech', 'Applause', 'Narration, monologue', 'Cheering', 'Crowd', 'Inside, large room or hall', 'Music', 'Vehicle', 'Whoop', 'Shout']"
0,"At3hmrH23NI,","400.000,","410.000,",['child'],"[0.3957035  0.20242496 0.17673644 0.10896947 0.08478853 0.08344812
 0.07015941 0.04179482 0.03955071 0.02742062]","['Speech', 'Crying, sobbing', 'Baby cry, infant cry', 'Child speech, kid speaking', 'Laughter', 'Inside, small room', 'Babbling', 'Whimper', 'Giggle', 'Snicker']"
0,"Ay7bs8DMMyA,","5.000,","15.000,",['child'],"[0.32893285 0.07727217 0.0562457  0.05404505 0.04650442 0.04387465
 0.04070051 0.03954121 0.03304544 0.03301815]","['Speech', 'Cough', 'Inside, small room', 'Silence', 'Laughter', 'Animal', 'Hiccup', 'Beatboxing', 'Throat clearing', 'Wail, moan']"
0,"Bh-o_G4wNZU,","10.000,","20.000,",['child'],"[0.4736806  0.08440346 0.08115216 0.05607486 0.0427851  0.03838005
 0.03684204 0.03194779 0.03118619 0.03070228]","['Speech', 'Inside, small room', 'Crying, sobbing', 'Whimper', 'Babbling', 'Silence', 'Breathing', 'Baby cry, infant cry', 'Child singing', 'Child speech, kid speaking']"
0,"Bho0lwcxn1g,","20.000,","30.000,",['child'],"[0.50863373 0.1385676  0.06504232 0.04597913 0.03453107 0.02979023
 0.02479125 0.02394061 0.02206555 0.0205673 ]","['Speech', 'Child speech, kid speaking', 'Child singing', 'Singing', 'Crying, sobbing', 'Inside, small room', 'Baby cry, infant cry', 'Animal', 'Babbling', 'Vehicle']"
0,"BuIMVqz85uk,","30.000,","40.000,",['male'],"[0.78456277 0.03279531 0.03263851 0.02195558 0.01965554 0.01389318
 0.01206625 0.0074198  0.00494168 0.0042549 ]","['Speech', 'Music', 'Chuckle, chortle', 'Laughter', 'Narration, monologue', 'Inside, large room or hall', 'Conversation', 'Snicker', 'Cough', 'Inside, small room']"
0,"BuhCuSnq6DI,","90.000,","100.000,",['child'],"[0.14483117 0.14021994 0.13174422 0.12767561 0.09297951 0.08385604
 0.0789385  0.07778583 0.07407386 0.06051372]","['Water', 'Liquid', 'Speech', 'Music', 'Pour', 'Splash, splatter', 'Oink', 'Pig', 'Trickle, dribble', 'Slosh']"
0,"BymkWsAcLR4,","0.000,","10.000,",['child'],"[0.45633522 0.40190488 0.365179   0.33972993 0.2693927  0.17186415
 0.14228237 0.09371172 0.08186145 0.07674637]","['Insect', 'Wild animals', 'Fly, housefly', 'Animal', 'Bee, wasp, etc.', 'Mosquito', 'Speech', 'Buzz', 'Sidetone', 'Dial tone']"
0,"C31iMozaMEA,","10.000,","20.000,",['child'],"[0.2710392  0.09949407 0.09405679 0.09026871 0.07131118 0.04807048
 0.02562998 0.02472751 0.0226903  0.0214331 ]","['Speech', 'Child speech, kid speaking', 'Inside, small room', 'Music', 'Hands', 'Clapping', 'Singing', 'Child singing', 'Animal', 'Inside, large room or hall']"
0,"CXRemJ1ZLC8,","250.000,","260.000,",['child'],"[0.8962012  0.02719691 0.01248157 0.01224304 0.00826978 0.00774256
 0.00630416 0.00483074 0.00470128 0.0043911 ]","['Speech', 'Inside, public space', 'Children playing', 'Inside, large room or hall', 'Outside, urban or manmade', 'Child speech, kid speaking', 'Bicycle', 'Conversation', 'Inside, small room', 'Animal']"
0,"CiuMO1EkzU4,","10.000,","20.000,",['child'],"[0.28067434 0.08693606 0.07360248 0.04712002 0.04475667 0.03631553
 0.03599694 0.03240718 0.03193588 0.02867853]","['Speech', 'Inside, small room', 'Hands', 'Singing', 'Rodents, rats, mice', 'Patter', 'Clapping', 'Child singing', 'Mouse', 'Fire']"
0,"CjO1ZZZI8CE,","30.000,","40.000,",['female'],"[0.4995953  0.12004389 0.01503266 0.01160955 0.00948237 0.00935802
 0.00834897 0.00647538 0.00606672 0.00600061]","['Speech', 'Music', 'Narration, monologue', 'Inside, large room or hall', 'Inside, public space', 'Crowd', 'Singing', 'Shout', 'Whoop', 'Pop music']"
0,"Cwt7hCUOCDY,","30.000,","40.000,",['female'],"[0.84194136 0.04070875 0.03491157 0.01799153 0.01787712 0.0105686
 0.00911693 0.00716503 0.00485368 0.00441968]","['Speech', 'Inside, small room', 'Cough', 'Child speech, kid speaking', 'Music', 'Throat clearing', 'Narration, monologue', 'Conversation', 'Animal', 'Rodents, rats, mice']"
0,"D1tl1eS7ubI,","0.000,","9.000,",['female'],"[0.86562425 0.02596694 0.01439103 0.00999471 0.00924954 0.0069307
 0.00668568 0.00503889 0.0036642  0.00269456]","['Speech', 'Music', 'Narration, monologue', 'Inside, small room', 'Inside, large room or hall', 'Television', 'Conversation', 'Synthesizer', 'Sampler', 'Electronic music']"
0,"D668Jl6zuAk,","190.000,","200.000,",['child'],"[0.7206059  0.10552049 0.0567334  0.05660214 0.03743272 0.01926401
 0.01895423 0.01291586 0.0096312  0.00827083]","['Speech', 'Child speech, kid speaking', 'Inside, small room', 'Crying, sobbing', 'Baby cry, infant cry', 'Laughter', 'Whimper', 'Babbling', 'Giggle', 'Inside, large room or hall']"
0,"DB38NRSHw9A,","30.000,","40.000,",['male'],"[0.87874955 0.06987203 0.03218917 0.03203087 0.02908156 0.02775308
 0.0269212  0.02087829 0.01260781 0.01233178]","['Music', 'Rhythm and blues', 'Singing', 'Music of Bollywood', 'Music of Asia', 'Reggae', 'Soul music', 'Pop music', 'Happy music', 'Funk']"
0,"DpiGR6_i4Js,","30.000,","40.000,",['female'],"[0.5973003  0.06418201 0.04355119 0.03680113 0.03101609 0.03045395
 0.02937838 0.02884957 0.02878961 0.02423196]","['Speech', 'Vehicle', 'Mechanisms', 'Inside, small room', 'Car', 'Motor vehicle (road)', 'Clock', 'Tick', 'Mechanical fan', 'Tick-tock']"
0,"E-QLJc3jiEg,","190.000,","200.000,",['child'],"[0.24953392 0.12890981 0.12735985 0.05933008 0.0202541  0.01909344
 0.01717357 0.01041847 0.00560214 0.00547816]","['Speech', 'Music', 'Child speech, kid speaking', 'Children playing', 'Inside, large room or hall', 'Child singing', 'Inside, small room', 'Singing', 'Inside, public space', 'Hands']"
0,"ENCPkF4K9zU,","30.000,","40.000,","['male', 'female']","[0.5674868  0.02764748 0.02107217 0.01678109 0.01636509 0.01610811
 0.01593705 0.01581761 0.01468618 0.01411962]","['Speech', 'Inside, small room', 'Burping, eructation', 'Inside, large room or hall', 'Dog', 'Cough', 'Domestic animals, pets', 'Music', 'Laughter', 'Vacuum cleaner']"
0,"EO2y901299I,","30.000,","40.000,",['male'],"[0.41303468 0.05576209 0.04459908 0.03863478 0.03196838 0.0287447
 0.02311316 0.02250073 0.01998137 0.01836724]","['Speech', 'Opera', 'Classical music', 'Music', 'Inside, large room or hall', 'Laughter', 'Singing', 'Chuckle, chortle', 'Crowd', 'Narration, monologue']"
